"personId","tpp","ftp","fgp","ppg","rpg","apg","bpg","mpg","spg","assists","blocks","steals","turnovers","offReb","defReb","totReb","fgm","fga","tpm","tpa","ftm","fta","pFouls","points","gamesPlayed","gamesStarted","plusMinus","min","dd2","td3"
203933,35.7,78.0,50.7,15.5,4.1,1.2,0.5,28.8,1.0,397,168,327,341,449,923,1372,2124,4191,247,692,647,830,791,5142,332,236,-1012,9553,14,0
203935,31.9,77.6,37.5,10.1,3.5,4.1,0.4,29.2,1.6,1784,165,673,731,373,1144,1517,1435,3827,639,2001,822,1059,1119,4331,430,209,947,12539,10,1
203937,32.8,71.0,48.7,6.2,4.2,2.1,0.6,20.4,1.0,876,227,398,385,284,1418,1702,999,2053,139,424,392,552,593,2529,410,211,329,8382,12,1
203939,29.1,74.1,56.0,7.5,4.5,1.0,0.4,18.4,0.7,390,183,268,265,580,1239,1819,1108,1979,107,368,691,932,858,3014,403,96,-16,7424,17,0
203944,33.0,73.2,49.0,16.9,9.2,3.1,0.4,30.0,0.7,1317,188,289,1093,882,3001,3883,2663,5438,263,797,1528,2087,1336,7117,422,342,-1416,12677,170,9
203952,34.1,73.1,44.4,19.6,4.4,2.3,0.6,35.5,1.0,1170,322,495,1045,621,1579,2200,3625,8165,635,1864,1912,2617,1083,9797,501,501,-807,17761,13,1
203954,33.0,80.4,48.6,24.7,11.5,3.1,1.7,30.7,0.8,752,417,195,835,572,2180,2752,1965,4043,276,837,1727,2149,783,5933,240,240,1350,7368,163,2
203957,30.5,76.4,40.7,5.7,1.8,2.1,0.2,18.6,0.4,515,44,101,308,91,350,441,509,1252,167,547,204,267,429,1389,245,72,69,4545,1,0
203960,25.0,67.6,46.7,5.1,2.6,0.7,0.4,14.9,0.4,158,99,91,180,135,446,581,442,946,58,232,196,290,408,1138,223,90,-525,3331,0,0
203967,35.9,84.1,44.3,12.1,6.0,2.0,0.2,25.8,0.6,672,78,206,555,520,1500,2020,1452,3278,499,1389,640,761,722,4043,335,201,38,8632,35,0
203991,0.0,52.8,62.8,12.5,10.2,1.0,1.5,26.3,0.7,359,578,259,464,1287,2536,3823,2030,3234,0,2,614,1162,933,4674,375,315,1115,9878,168,1
203992,37.1,81.2,43.3,13.3,3.2,3.4,0.2,27.8,1.0,786,50,224,365,108,635,743,1129,2610,472,1271,336,414,492,3066,231,102,-438,6414,3,0
203994,14.7,66.9,49.2,11.7,8.0,2.0,1.3,23.1,0.9,662,429,285,685,827,1845,2672,1556,3165,10,68,769,1150,1038,3891,333,252,558,7695,91,1
203999,35.0,83.2,53.2,18.0,9.8,5.8,0.7,29.7,1.2,2496,295,496,1102,1119,3059,4178,2983,5612,418,1195,1338,1609,1210,7722,428,387,1590,12726,234,53
204001,35.9,80.5,43.9,18.6,7.8,1.5,2.0,31.1,0.7,398,542,191,463,461,1663,2124,1834,4173,494,1376,925,1149,857,5087,273,272,232,8492,74,0
204020,35.8,77.8,42.7,10.0,3.1,2.3,0.4,24.9,0.8,786,137,283,365,183,852,1035,1218,2854,418,1166,537,690,618,3391,338,77,-183,8420,1,0
204038,37.1,81.6,39.9,8.2,2.5,1.6,0.2,22.0,0.7,718,64,301,261,207,874,1081,1289,3234,633,1708,404,495,695,3615,439,62,-407,9673,1,0
204060,41.5,76.5,45.4,8.6,3.3,3.7,0.2,25.6,1.0,1920,82,504,830,169,1529,1698,1590,3499,925,2227,368,481,971,4473,521,280,1317,13317,15,0
204222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,9,12,0,0
204456,33.0,75.8,49.7,6.5,2.9,4.9,0.2,21.8,1.2,2095,76,533,680,217,1028,1245,1242,2497,95,288,210,277,622,2789,428,77,-580,9325,12,2
1626143,19.0,67.4,53.9,10.7,4.9,0.9,0.8,19.8,0.3,215,192,69,330,367,763,1130,1054,1956,4,21,360,534,486,2472,232,114,-1237,4598,21,0
1626145,33.4,81.1,43.1,5.7,1.6,3.6,0.1,18.2,1.0,1292,30,364,269,82,504,586,793,1842,202,604,257,317,336,2045,357,48,-54,6490,7,0
1626149,8.3,64.8,61.7,13.0,5.2,1.3,0.9,21.5,0.6,476,324,212,425,679,1216,1895,1946,3152,5,60,872,1346,817,4769,366,26,599,7858,40,0
1626153,34.4,79.1,45.1,7.6,3.2,3.1,0.4,21.0,1.1,971,118,341,319,244,759,1003,860,1906,201,585,440,556,363,2361,310,54,308,6496,8,3
1626156,35.9,77.1,42.0,17.6,3.6,5.2,0.3,29.0,1.2,1767,89,386,973,187,1041,1228,2179,5184,806,2246,753,977,631,5917,337,288,-1518,9786,26,1
1626157,39.7,83.4,53.0,22.8,11.7,2.9,1.5,34.3,0.8,1114,567,299,997,1198,3311,4509,3301,6225,573,1445,1607,1928,1277,8782,386,386,217,13259,280,1
1626158,25.6,74.0,59.7,9.2,5.6,1.1,1.1,20.4,0.6,330,334,194,270,573,1175,1748,1192,1997,41,160,475,642,852,2900,314,106,-468,6403,44,0
1626159,32.3,64.3,41.2,8.9,5.3,2.7,0.4,28.0,0.9,686,96,239,396,260,1112,1372,906,2199,195,604,288,448,623,2295,257,105,274,7186,10,0
1626161,18.5,61.4,54.3,9.3,6.1,1.5,0.8,22.9,0.9,579,317,333,364,655,1689,2344,1500,2763,5,27,548,893,906,3553,384,248,-609,8785,49,0
1626162,32.5,76.7,43.2,11.4,4.4,1.0,0.5,24.8,0.9,389,193,362,413,349,1362,1711,1601,3704,491,1511,775,1011,1004,4468,393,144,-622,9753,18,0
1626163,35.0,74.3,42.5,9.5,4.0,1.6,0.4,21.3,0.4,579,131,156,293,268,1148,1416,1200,2822,405,1157,541,728,545,3346,353,49,48,7511,9,0
1626164,35.4,86.9,45.4,22.8,3.7,4.7,0.2,33.6,0.8,1804,97,306,1266,182,1237,1419,3046,6708,757,2141,1930,2222,1169,8779,385,360,-933,12917,31,0
